File Name,File ID,Web View URL,MIME Type
"[Aniket] Agentic Platform Customer Deck","1cZh9BEqucGuMreDLbi983jsJ6ieipm3ITB_ULLV2lBk","https://docs.google.com/presentation/d/1cZh9BEqucGuMreDLbi983jsJ6ieipm3ITB_ULLV2lBk/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"7","","https://docs.google.com/presentation/d/1uzlv-HVGzBrcdU5aD9aW4ruHUGiE2IHBT0o0crcvK94/edit?usp=drivesdk","application/pdf"
"8/3 Ally 2 Training Deckv2","1OE9r6Mzj-Zf_YmoBlF_j5E1-PEszixzoZ4d0Z2Zm3Gs","https://docs.google.com/presentation/d/1OE9r6Mzj-Zf_YmoBlF_j5E1-PEszixzoZ4d0Z2Zm3Gs/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AC Copilot - Competitive Intelligence","1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14","https://docs.google.com/presentation/d/1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"Account Summary Slide - ABI.pdf","1XvpvrN7_kADqYFe47ylnJR3F-om2TU1V","https://drive.google.com/file/d/1XvpvrN7_kADqYFe47ylnJR3F-om2TU1V/view?usp=drivesdk","application/pdf"
"Account Summary Slide - KC Canada.pdf","1pdmxXjyjQPWEt6jNYQwSDGnQfzBQaavP","https://drive.google.com/file/d/1pdmxXjyjQPWEt6jNYQwSDGnQfzBQaavP/view?usp=drivesdk","application/pdf"
"Agent Pitch - Customer Presentation","","https://docs.google.com/presentation/d/1Dp3Fx3TGE1I1l2XA-mgm9-rALcEZoeISgXnSL40G8xI/edit?usp=drivesdk","application/pdf"
"Agent Pitch - Customer PresentationV3","1vnbulKXEam0skTM35j-t9NZjGPizzUqtPIofBmSJElQ","https://docs.google.com/presentation/d/1vnbulKXEam0skTM35j-t9NZjGPizzUqtPIofBmSJElQ/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"Agent Product Hub","","https://docs.google.com/document/d/1J6qBG6orf29KRgsdSigkNvOYBHyPUaNY3dqsPidoHRw/edit?usp=drivesdk","text/plain"
"AGO - Chorus Recording / Demo Video Links","1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs","https://docs.google.com/document/d/1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs/edit?usp=drivesdk","text/plain"
"AI Goal Optimizer - External Customer Deck","19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4","https://docs.google.com/presentation/d/19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AI Goal Optimizer - Internal Training Deck V2","1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw","https://docs.google.com/presentation/d/1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AI Goal Optimizer Media Agent Sell Sheet June 2025","1YmUoZAs9usjPyYIv1WgLSBUGXdeF56K0","https://drive.google.com/file/d/1YmUoZAs9usjPyYIv1WgLSBUGXdeF56K0/view?usp=drivesdk","application/pdf"
"Ally I Teammate Training","1nYPCt3ZJLtDZDm-y27jykNt0-2guUdURHk4iGgaYMno","https://docs.google.com/presentation/d/1nYPCt3ZJLtDZDm-y27jykNt0-2guUdURHk4iGgaYMno/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"Ally Training Deck 5/9","1ZxSGExOKRkpMJhynxUeecVBHtJ4aGIMBih6ZX75ZmA4","https://docs.google.com/presentation/d/1ZxSGExOKRkpMJhynxUeecVBHtJ4aGIMBih6ZX75ZmA4/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AllyAI Agent Product Hub","1J6qBG6orf29KRgsdSigkNvOYBHyPUaNY3dqsPidoHRw","https://docs.google.com/document/d/1J6qBG6orf29KRgsdSigkNvOYBHyPUaNY3dqsPidoHRw/edit?usp=drivesdk","application/vnd.google-apps.document"
"AllyAI Category Teammate","","https://docs.google.com/presentation/d/1uUruwGH6HqqgV_OA-q-NOe_pg6bVMDo3A5rHRq2hj1s/edit?usp=drivesdk","application/pdf"
"AllyAI Content Agent_2nd Call Slides","15zKFbgUa2SS6H98tRWMQUEhsnxgAipegF8eErhLLjow","https://docs.google.com/presentation/d/15zKFbgUa2SS6H98tRWMQUEhsnxgAipegF8eErhLLjow/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AllyAI Content Agent_archive","1Y_Uow7sGBwMLm3SA0ej2YLOUMQhjeRE-_6zSfkvwX4k","https://docs.google.com/presentation/d/1Y_Uow7sGBwMLm3SA0ej2YLOUMQhjeRE-_6zSfkvwX4k/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AllyAI Content Agent_datasheet.pdf","18mgP0-_5ARrVL1yO2HE3rS6C9fuMO7jb","https://drive.google.com/file/d/18mgP0-_5ARrVL1yO2HE3rS6C9fuMO7jb/view?usp=drivesdk","application/pdf"
"AllyAI Media Agent & Services","1kt0aXqqNaR3eKwuTFxab5muYVq5l-H2PllQ3XVr4YFs","https://docs.google.com/presentation/d/1kt0aXqqNaR3eKwuTFxab5muYVq5l-H2PllQ3XVr4YFs/edit?usp=drivesdk","application/vnd.google-apps.presentation"
"AllyAI Media Teammate ","","https://docs.google.com/presentation/d/1_m50KB13PrTeJe0p6QYHT9zlRwcALL1DuuP1GLq_f2g/edit?usp=drivesdk","application/pdf"
